@RELATION us_county_election_2020_svm

@ATTRIBUTE votes_gop     NUMERIC
@ATTRIBUTE votes_dem     NUMERIC
@ATTRIBUTE total_votes   NUMERIC
@ATTRIBUTE winner        {GOP, DEM}

@DATA
19838,7503,27770,GOP
83544,24578,109679,GOP
5622,4816,10518,GOP
7525,1986,9595,GOP
24711,2640,27588,GOP
1146,3446,4613,DEM
5458,3965,9488,GOP
35101,15216,50983,GOP
8753,6365,15284,GOP
10583,1624,12301,GOP
16085,3073,19310,GOP
4296,3127,7464,GOP
7324,5755,13135,GOP
5601,1267,6930,GOP
6484,675,7227,GOP
16899,5076,22275,GOP
19203,8343,27886,GOP
3442,2966,6441,GOP
3631,1796,5479,GOP
14586,2721,17430,GOP
4864,1700,6617,GOP
36880,4478,41851,GOP
14303,5170,19738,GOP
5524,12230,17864,DEM
24767,4281,29356,GOP
30164,10367,41030,GOP
10869,4918,15910,GOP
35528,11567,47728,GOP
7300,1395,8766,GOP
10376,2086,12578,GOP
10848,1595,12545,GOP
875,3884,4775,DEM
3190,4687,7922,DEM
6607,2606,9298,GOP
32618,12917,46173,GOP
19670,3717,23636,GOP
138843,181688,325848,DEM
6174,978,7193,GOP
31721,11915,44339,GOP
12322,3562,16031,GOP
42221,27860,71449,GOP
34640,13672,49235,GOP
1836,4972,6835,DEM
1541,7108,8723,DEM
102780,87286,194767,GOP
5343,5488,10900,DEM
12205,1463,13807,GOP
33191,5943,39655,GOP
101243,79474,183164,GOP
6147,4455,10668,GOP
33311,64529,99139,DEM
39664,13234,53722,GOP
1339,3860,5230,DEM
5594,4022,9668,GOP
8042,5636,13841,GOP
8559,2203,10837,GOP
9864,11228,21329,DEM
36166,7744,44441,GOP
79700,33268,114950,GOP
1598,4648,6291,DEM
22235,13138,35663,GOP
14963,5859,20991,GOP
51117,37765,90172,GOP
26002,4834,31170,GOP
6564,2258,8876,GOP
1833,4048,5903,DEM
10195,974,11284,GOP
3511,3477,7360,GOP
3674,2104,6161,GOP
6076,1903,8385,GOP
4690,5345,10587,DEM
4077,4204,8706,DEM
5770,3272,9518,GOP
7027,2215,9664,GOP
7618,1953,9957,GOP
7787,2769,11047,GOP
8081,2727,11256,GOP
7096,3130,10686,GOP
7893,2957,11280,GOP
4652,2666,7765,GOP
6714,4261,11534,GOP
2671,2622,5593,GOP
3516,4274,8170,DEM
2810,4136,7271,DEM
2760,4681,7759,DEM
1975,3118,5338,DEM
2383,4881,7544,DEM
3690,5414,9482,DEM
4684,4553,9597,GOP
3655,3810,7796,DEM
5378,4736,10484,GOP
4407,4600,9369,DEM
5243,4558,20292,GOP
4324,4844,19037,DEM
6162,6264,25580,DEM
7464,2985,10784,GOP
7180,2638,10226,GOP
6971,5037,12481,GOP
4440,3506,8361,GOP
3059,7535,11016,DEM
4543,5763,10794,DEM
4769,5011,10149,DEM
5114,3796,9292,GOP
2358,2560,5168,DEM
1737,3202,5299,DEM
1939,3580,5930,DEM
1994,2318,4628,DEM
11442,23293,35183,DEM
35557,23732,60473,GOP
27052,44698,73346,DEM
18377,8943,27678,GOP
10749,4034,14996,GOP
2433,1182,3688,GOP
5129,2236,7460,GOP
995665,1040774,2069475,DEM
78535,24831,104705,GOP
27657,23383,51783,GOP
207758,304981,520735,DEM
107077,75106,185037,GOP
6194,13138,19561,DEM
91527,49602,143280,GOP
36534,32210,69926,GOP
4304,1818,6292,GOP
5548,2125,7926,GOP
15836,4635,21007,GOP
73965,42249,119912,GOP
13652,3064,17114,GOP
2335,1214,3654,GOP
1636,479,2182,GOP
7424,4023,11797,GOP
1752,2260,4103,DEM
4616,3438,8395,GOP
4086,962,5183,GOP
10328,1988,12680,GOP
2867,651,3600,GOP
5500,2814,8616,GOP
5694,2615,8685,GOP
25558,11921,38511,GOP
18607,4959,24091,GOP
7333,8514,16367,DEM
4946,1772,6942,GOP
1573,963,2649,GOP
1921,2016,4164,DEM
4349,2426,6908,GOP
34421,18347,54428,GOP
5677,1300,7129,GOP
3961,1035,5119,GOP
29069,14045,44199,GOP
6794,1268,8200,GOP
12670,3058,16100,GOP
4470,2138,6848,GOP
9202,3082,12557,GOP
3367,1340,4834,GOP
11250,2806,14512,GOP
4631,1021,5810,GOP
